index,title,genres,cast,keywords,director
941,13 Hours: The Secret Soldiers of Benghazi,Action Drama History Thriller War,James Badge Dale John Krasinski Max Martini Pablo Schreiber Toby Stephens,based on novel assault rifle mercenary libya biography,Michael Bay
942,The Book of Life,Romance Animation Adventure Comedy Family,Diego Luna Channing Tatum Zoe Saldana Christina Applegate Eugenio Derbez,love triangle afterlife day of the dead bullfighting,Jorge R. Gutierrez
943,Firewall,Thriller,Harrison Ford Paul Bettany Virginia Madsen Carly Schroeder Jimmy Bennett,bank technology blackmail hacker seattle,Richard Loncraine
944,Absolute Power,Crime Drama Thriller,Clint Eastwood Gene Hackman Ed Harris Scott Glenn Laura Linney,corruption assassination washington d.c. rape white house,Clint Eastwood
945,G.I. Jane,Action Drama,Demi Moore Viggo Mortensen Anne Bancroft Jason Beghe Daniel von Bargen,poem middle east helicopter satellite navy,Ridley Scott
946,The Game,Drama Thriller Mystery,Michael Douglas Sean Penn Deborah Kara Unger James Rebhorn Spike Jonze,brother brother relationship birthday danger of life birthday party surprising,David Fincher
947,Silent Hill,Horror Mystery,Radha Mitchell Sean Bean Laurie Holden Deborah Kara Unger Kim Coates,monster mother role burning of witches fog suffering,Christophe Gans
948,The Replacements,Comedy,Keanu Reeves Gene Hackman Brooke Langton Orlando Jones Faizon Love,american football strike sport coach misfit,Howard Deutch
949,American Reunion,Comedy,Jason Biggs Alyson Hannigan Seann William Scott Chris Klein Thomas Ian Nicholas,wife husband relationship sequel family reunion masturbation scat,Jon Hurwitz
950,The Negotiator,Action Adventure Crime Drama Mystery,Samuel L. Jackson Kevin Spacey David Morse Ron Rifkin John Spencer,corruption hostage pension innocence police,F. Gary Gray
951,Into the Storm,Action Thriller,Richard Armitage Sarah Wayne Callies Matt Walsh Nathan Kress Alycia Debnam-Carey,tornado student found footage disaster movie,Steven Quale
952,Beverly Hills Cop III,Action Comedy Crime,Eddie Murphy Judge Reinhold H\u00e9ctor Elizondo Gilbert R. Hill Timothy Carhart,detective undercover security camera carousel  investigation,John Landis
953,Gremlins 2: The New Batch,Comedy Horror Fantasy,Zach Galligan Phoebe Cates John Glover Robert Prosky Robert Picardo,new york monster skyscraper mutant restaurant,Joe Dante
954,The Judge,Drama,Robert Duvall Robert Downey Jr. Vera Farmiga Vincent D'Onofrio Jeremy Strong,father son relationship judge lawyer,David Dobkin
955,The Peacemaker,Action Thriller,George Clooney Nicole Kidman Marcel Iure\u0219 Goran Visnjic Armin Mueller-Stahl,helicopter terrorist nuclear missile bridge train crash,Mimi Leder
956,Resident Evil: Apocalypse,Horror Action Science Fiction,Milla Jovovich Sienna Guillory Oded Fehr Thomas Kretschmann Sophie Vavasseur,martial arts mutant dystopia rescue conspiracy,Alexander Witt
957,Bridget Jones: The Edge of Reason,Comedy Romance,Ren\u00e9e Zellweger Hugh Grant Colin Firth Jim Broadbent Gemma Jones,london england lovesickness thailand clumsy fellow to drop brick,Beeban Kidron
958,Out of Time,Thriller Crime Drama,Denzel Washington Eva Mendes Sanaa Lathan John Billingsley Dean Cain,miami florida double murder divorce,Carl Franklin
959,On Deadly Ground,Action Thriller,Steven Seagal Michael Caine Joan Chen John C. McGinley R. Lee Ermey,fight inuit petrol company alaska,Steven Seagal
960,The Adventures of Sharkboy and Lavagirl,Adventure Family Science Fiction,Taylor Lautner Taylor Dooley Cayden Boyd David Arquette Kristin Davis,imaginary friend outcast,Robert Rodriguez
961,The Beach,Drama Adventure Romance Thriller,Leonardo DiCaprio Guillaume Canet Tilda Swinton Virginie Ledoyen Staffan Kihlbom,hippie exotic island beach map group dynamics,Danny Boyle
962,Raising Helen,Drama Comedy Romance,Kate Hudson John Corbett Joan Cusack Hayden Panettiere Spencer Breslin,new york pastor world of fasion loss of parents mannequin,Garry Marshall
963,Ninja Assassin,Action Crime Thriller,Rain Naomie Harris Sung Kang Randall Duk Kim Rick Yune,assassination assassin ninja fighter revenge ninja,James McTeigue
964,For Love of the Game,Drama Romance,Kevin Costner Kelly Preston John C. Reilly Jena Malone J.K. Simmons,baseball trainer career legend training,Sam Raimi
965,Striptease,Drama Thriller Crime,Demi Moore Burt Reynolds Armand Assante Ving Rhames Robert Patrick,blackmail strip club striptease police u.s. congress,Andrew Bergman
966,Marmaduke,Family Comedy,Owen Wilson Emma Stone George Lopez Christopher Mintz-Plasse Steve Coogan,,Tom Dey
967,Hereafter,Drama Fantasy,Matt Damon Bryce Dallas Howard George McLaren Thierry Neuvic Cyndi Mayo Davis,,Clint Eastwood
968,Murder by Numbers,Crime Drama Thriller,Sandra Bullock Ben Chaplin Ryan Gosling Michael Pitt Agnes Bruckner,detective secret fbi homicide evidence,Barbet Schroeder
969,Assassins,Action Adventure Crime Thriller,Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson,competition assassination cia bank cat,Richard Donner
970,Hannibal Rising,Crime Drama Thriller,Gaspard Ulliel Aaran Thomas Gong Li Dominic West Rhys Ifans,winter psychopath horror serial killer,Peter Webber
971,The Story of Us,Comedy Drama Romance,Bruce Willis Michelle Pfeiffer Rob Reiner Colleen Rennison Jake Sandvig,love of one's life therapist psychology wedding relationship,Rob Reiner
972,The Host,Action Adventure Romance Science Fiction Thriller,Saoirse Ronan Diane Kruger Jake Abel William Hurt Frances Fisher,based on novel mass murder dystopia genocide alien invasion,Andrew Niccol
973,Basic,Action Drama Mystery Thriller Crime,John Travolta Connie Nielsen Samuel L. Jackson Giovanni Ribisi Tim Daly,drug addiction military court panama military service court,John McTiernan
974,Blood Work,Crime Drama Mystery Thriller,Clint Eastwood Jeff Daniels Anjelica Huston Wanda De Jesus Tina Lifford,houseboat heart investigation police ex-cop,Clint Eastwood
975,The International,Drama Thriller Crime,Clive Owen Naomi Watts Armin Mueller-Stahl Ulrich Thomsen Br\u00edan F. O'Byrne,duringcreditsstinger,Tom Tykwer
976,Escape from L.A.,Action Adventure Science Fiction Thriller,Kurt Russell Stacy Keach Steve Buscemi Pam Grier Cliff Robertson,prison usa president earthquake dystopia attempt to escape,John Carpenter
977,The Iron Giant,Adventure Animation Family Fantasy Science Fiction,Eli Marienthal Jennifer Aniston Vin Diesel Christopher McDonald Harry Connick Jr.,cold war friendship giant robot sitting on a toilet fear of unknown,Brad Bird
978,The Life Aquatic with Steve Zissou,Adventure Comedy Drama,Bill Murray Anjelica Huston Cate Blanchett Willem Dafoe Owen Wilson,ocean film making loss of mother cynic red cap,Wes Anderson
979,Free State of Jones,War Action Drama History Thriller,Matthew McConaughey Gugu Mbatha-Raw Mahershala Ali Keri Russell Jacob Lofland,slavery american civil war,Gary Ross
980,The Life of David Gale,Drama Thriller Crime,Kevin Spacey Kate Winslet Laura Linney Gabriel Mann Rhona Mitra,prison journalist texas professor death penalty,Alan Parker
981,Man of the House,Comedy Action,Tommy Lee Jones Cedric the Entertainer Christina Milian Paula Garc\u00e9s Monica Keena,,Stephen Herek
982,Run All Night,Action Crime Drama Mystery Thriller,Liam Neeson Ed Harris Joel Kinnaman Boyd Holbrook Bruce McGill,hitman revenge murder on the run mobster,Jaume Collet-Serra
983,Eastern Promises,Thriller Crime Mystery,Naomi Watts Viggo Mortensen Vincent Cassel Armin Mueller-Stahl Sin\u00e9ad Cusack,london england gay male nudity female nudity father son relationship,David Cronenberg
984,Into the Blue,Action Thriller Adventure Crime,Paul Walker Jessica Alba Scott Caan Ashley Scott Josh Brolin,diving cocaine shipwreck sailing airplane,John Stockwell
985,The Messenger: The Story of Joan of Arc,Adventure Drama Action History War,Milla Jovovich Dustin Hoffman Faye Dunaway John Malkovich Vincent Cassel,schizophrenia france rape siege biography,Luc Besson
986,Your Highness,Comedy,Danny McBride James Franco Natalie Portman Zooey Deschanel Justin Theroux,kidnapping traitor virgin prince princess,David Gordon Green
987,Dream House,Drama Thriller Mystery,Daniel Craig Naomi Watts Rachel Weisz Marton Csokas Elias Koteas,house fire extension ladder last day on job,Jim Sheridan
988,Mad City,Action Drama Thriller,John Travolta Dustin Hoffman Mia Kirshner Alan Alda Robert Prosky,journalist museum hostage drama independent film,Costa-Gavras
989,Baby's Day Out,Action Adventure Comedy Family,Joe Mantegna Lara Flynn Boyle Joe Pantoliano Brian Haley Cynthia Nixon,baby hoodlum lost child,Patrick Read Johnson
990,The Scarlet Letter,Drama History Romance,Demi Moore Gary Oldman Robert Duvall Robert Prosky Edward Hardwicke,based on novel burning of witches puritan pregnancy period drama,Roland Joff\u00e9
991,Fair Game,Drama Thriller,Naomi Watts Sean Penn Ty Burrell Brooke Smith Bruce McGill,cia nuclear scientist iraq politician duringcreditsstinger,Doug Liman
992,Domino,Action Crime,Keira Knightley Mickey Rourke Edgar Ram\u00edrez Delroy Lindo Mo'Nique,bounty hunter fbi weapon spectacle,Tony Scott
993,Jade,Action Thriller Mystery Romance,David Caruso Linda Fiorentino Chazz Palminteri Michael Biehn Richard Crenna,callgirl san francisco investigation murder,William Friedkin
994,Gamer,Action Thriller Science Fiction,Gerard Butler Michael C. Hall Logan Lerman Amber Valletta Terry Crews,dystopia mind control gun battle wrongful imprisonment dystopic future,Brian Taylor
995,Beautiful Creatures,Fantasy Drama Romance,Alden Ehrenreich Alice Englert Jeremy Irons Viola Davis Emmy Rossum,civil war southern usa magic light dark,Richard LaGravenese
996,Death to Smoochy,Comedy Crime Drama Thriller,Robin Williams Catherine Keener Edward Norton Danny DeVito Jon Stewart,corruption moderator tv show success irish mob,Danny DeVito
997,Zoolander 2,Comedy,Ben Stiller Owen Wilson Will Ferrell Pen\u00e9lope Cruz Kristen Wiig,stupidity sequel fashion male model fashion model,Ben Stiller
998,The Big Bounce,Comedy Crime,Owen Wilson Morgan Freeman Gary Sinise Sara Foster Willie Nelson,hotel robbery based on novel judge hawaii,George Armitage
999,What Planet Are You From?,Comedy Drama Romance Science Fiction,Garry Shandling Annette Bening John Goodman Greg Kinnear Linda Fiorentino,noises alien life-form erection neue frau alien,Mike Nichols
1000,Drive Angry,Fantasy Thriller Action Crime,Nicolas Cage Amber Heard William Fichtner Billy Burke David Morse,bone car explosion premarital sex satanic cult driver's license,Patrick Lussier
1001,Street Fighter: The Legend of Chun-Li,Action Adventure Science Fiction Thriller,Kristin Kreuk Chris Klein Neal McDonough Michael Clarke Duncan Moon Bloodgood,martial arts revenge street fighter based on video game,Andrzej Bartkowiak
1002,The One,Action Science Fiction Thriller,Jet Li Jason Statham Carla Gugino Delroy Lindo James Morrison,dual identity,James Wong
1003,The Adventures of Ford Fairlane,Action Comedy Thriller Crime Mystery,Andrew Dice Clay Wayne Newton Priscilla Presley Morris Day Lauren Holly,rock and roll show business rock star heavy metal murder,Renny Harlin
1004,The Boat That Rocked,Drama Comedy,Tom Sturridge Philip Seymour Hoffman Rhys Ifans Bill Nighy Emma Thompson,great britain musical rock pirate radio swinging 60s,Richard Curtis
1005,Traffic,Thriller Drama Crime,Michael Douglas Benicio del Toro Jacob Vargas Tom\u00e1s Mili\u00e1n Russell G. Jones,usa war on drugs drug traffic drug dealer drug smuggle,Steven Soderbergh
1006,Indiana Jones and the Last Crusade,Adventure Action,Harrison Ford Sean Connery Denholm Elliott Alison Doody John Rhys-Davies,saving the world venice holy grail library riddle,Steven Spielberg
1007,Anna Karenina,Drama Romance,Keira Knightley Jude Law Aaron Taylor-Johnson Kelly Macdonald Matthew Macfadyen,based on novel st. petersburg russia high society imperial russia tragic death,Joe Wright
1008,Chappie,Crime Action Science Fiction,Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo,artificial intelligence android robot near future robot cop,Neill Blomkamp
1009,The Bone Collector,Drama Mystery Thriller Crime,Denzel Washington Angelina Jolie Queen Latifah Michael Rooker Michael McGlone,paraplegic investigation psychopath,Phillip Noyce
1010,Panic Room,Crime Drama Thriller,Jodie Foster Kristen Stewart Forest Whitaker Dwight Yoakam Jared Leto,burglar bunker housebreaking safe money,David Fincher
1011,The Tooth Fairy,Horror,Lochlyn Munro Chandra West Steve Bacic Jianna Ballard Carrie Fleming,gore slasher single mother tooth fairy woodchipper,Chuck Bowman
1012,Three Kings,Action Adventure Comedy,George Clooney Mark Wahlberg Ice Cube Spike Jonze Cliff Curtis,gold gulf war three kings iraq kuwait,David O. Russell
1013,Child 44,Crime Thriller,Tom Hardy Gary Oldman Noomi Rapace Joel Kinnaman Paddy Considine,based on novel soviet union russian murder serial killer,Daniel Espinosa
1014,Rat Race,Adventure Comedy,Cuba Gooding Jr. Seth Green Whoopi Goldberg Breckin Meyer Amy Smart,casino running preisgeld millionaire road movie,Jerry Zucker
1015,K-PAX,Drama Science Fiction,Jeff Bridges Kevin Spacey Mary McCormack Alfre Woodard Ajay Naidu,robbery dream hypnosis investigation murder,Iain Softley
1016,Kate & Leopold,Comedy Fantasy Romance Science Fiction,Meg Ryan Hugh Jackman Liev Schreiber Breckin Meyer Natasha Lyonne,lover (female) love of one's life time travel kiss past,James Mangold
1017,Bedazzled,Fantasy Comedy Romance,Elizabeth Hurley Brendan Fraser Frances O'Connor Orlando Jones Paul Adelstein,love of one's life mephisto wish sale of soul pact with the devil,Harold Ramis
1018,The Cotton Club,Music Drama Crime Romance,Richard Gere Gregory Hines Diane Lane Lonette McKee Bob Hoskins,jazz jazz musician musical mafia,Francis Ford Coppola
1019,3:10 to Yuma,Western,Russell Crowe Christian Bale Logan Lerman Dallas Roberts Peter Fonda,saloon hero liberation of prisoners transport of prisoners wilderness,James Mangold
1020,Taken 3,Thriller Action,Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott,revenge murder on the run fugitive framed,Olivier Megaton
1021,Out of Sight,Romance Comedy Crime,George Clooney Jennifer Lopez Ving Rhames Don Cheadle Albert Brooks,journalist bedroom purse trunk elmore leonard,Steven Soderbergh
1022,The Cable Guy,Comedy Drama Thriller,Jim Carrey Matthew Broderick Leslie Mann Jack Black George Segal,prison prostitute karaoke dark comedy cable guy,Ben Stiller
1023,Earth,Drama,Aamir Khan Nandita Das Maia Sethna Kitu Gidwani Arif Zakaria,based on novel war of independence period drama woman director partition,Deepa Mehta
1024,Dick Tracy,Adventure Action Comedy Thriller Crime,Warren Beatty Al Pacino Madonna Charlie Korsmo Glenne Headly,corruption crime fighter gangster boss investigation based on comic strip,Warren Beatty
1025,The Thomas Crown Affair,Drama Crime Romance,Pierce Brosnan Rene Russo Denis Leary Ben Gazzara Frankie Faison,martinique claude monet famous painting glider insurance agent,John McTiernan
1026,Riding in Cars with Boys,Comedy Drama Romance,Drew Barrymore Steve Zahn Adam Garcia Brittany Murphy Logan Lerman,baby becoming an adult puberty dream drug addiction,Penny Marshall
1027,First Blood,Action Adventure Thriller War,Sylvester Stallone Richard Crenna Brian Dennehy Bill McKinney Jack Starrett,prison vietnam veteran falsely accused police brutality sheriff,Ted Kotcheff
1028,Solaris,Drama Science Fiction Adventure Mystery,Donatas Banionis Natalya Bondarchuk J\u00fcri J\u00e4rvet Anatoliy Solonitsyn Nikolay Grinko,1970s loss of sense of reality extraterrestrial technology subconsciousness russian,Andrei Tarkovsky
1029,Happily N'Ever After,Animation Comedy Family Fantasy Science Fiction,George Carlin Andy Dick Sarah Michelle Gellar Lisa Kaplan Michael McShane,dwarves cinderella wolf bad mother-in-law prince,Yvette Kaplan
1030,Mary Reilly,Drama Horror Thriller Romance,Julia Roberts John Malkovich George Cole Michael Gambon Glenn Close,servant monster laboratory jekyll and hyde housemaid,Stephen Frears
1031,My Best Friend's Wedding,Comedy Romance,Julia Roberts Dermot Mulroney Cameron Diaz Rupert Everett Philip Bosco,karaoke marriage proposal new love love of one's life kiss,P.J. Hogan
1032,America's Sweethearts,Comedy Romance,Julia Roberts Billy Crystal Catherine Zeta-Jones John Cusack Hank Azaria,film business film producer wife husband relationship fictitious marriage married couple,Joe Roth
1033,Insomnia,Crime Mystery Thriller,Al Pacino Robin Williams Hilary Swank Maura Tierney Martin Donovan,detective confession fbi homicide blackmail,Christopher Nolan
1034,Star Trek: First Contact,Science Fiction Action Adventure Thriller,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,federation starfleet borg enterprise-e cyborg,Jonathan Frakes
1035,Jonah Hex,Action Western Drama Fantasy Thriller,Josh Brolin John Malkovich Megan Fox Michael Fassbender Will Arnett,gunslinger usa dc comics hell facial scar,Jimmy Hayward
1036,Courage Under Fire,Drama Thriller Mystery War,Denzel Washington Meg Ryan Lou Diamond Phillips Matt Damon Michael Moriarty,gulf war pilot u.s. army praise rescue mission,Edward Zwick
1037,Liar Liar,Comedy,Jim Carrey Maura Tierney Cary Elwes Jennifer Tilly Swoosie Kurtz,california workaholic birthday lie pregnancy and birth,Tom Shadyac
1038,The Infiltrator,Crime Drama Thriller,Bryan Cranston Diane Kruger John Leguizamo Daniel Mays Benjamin Bratt,undercover biography drug drug lord,Brad Furman
1039,Inchon,Drama History War,Laurence Olivier Jacqueline Bisset Ben Gazzara Toshir\u014d Mifune Richard Roundtree,,Terence Young
1040,The Flintstones,Fantasy Comedy Family,John Goodman Elizabeth Perkins Rick Moranis Rosie O'Donnell Kyle MacLachlan,manager jealousy bad mother-in-law adoption family's daily life,Brian Levant
1041,Taken 2,Action Crime Thriller,Liam Neeson Maggie Grace Famke Janssen Rade Serbedzija Luke Grimes,kidnapping turkey police chase bag over head violence,Olivier Megaton
1042,Scary Movie 3,Comedy,Pamela Anderson Jenny McCarthy Marny Eng Charlie Sheen Simon Rex,horror spoof,David Zucker
1043,Miss Congeniality,Comedy Crime Action,Sandra Bullock Benjamin Bratt Michael Caine Candice Bergen William Shatner,undercover agent beauty contest terrorism,Donald Petrie
1044,Journey to the Center of the Earth,Action Science Fiction Adventure Comedy Family,Brendan Fraser Josh Hutcherson Anita Briem Seth Meyers Jean Michel Par\u00e9,volcano prehistoric dinosaur prehistoric creature 3d,Eric Brevig
1045,The Princess Diaries 2: Royal Engagement,Comedy Drama Family Romance,Anne Hathaway Julie Andrews H\u00e9ctor Elizondo John Rhys-Davies Heather Matarazzo,coronation duty marriage falling in love,Garry Marshall
1046,The Pelican Brief,Drama Mystery Thriller Crime,Julia Roberts Denzel Washington Sam Shepard William Atherton John Lithgow,judge professor mission of murder supreme court,Alan J. Pakula
1047,The Client,Drama Thriller Crime Mystery,Susan Sarandon Tommy Lee Jones Mary-Louise Parker Anthony LaPaglia Bradley Whitford,suicide brother brother relationship witness protection principal witness  brother,Joel Schumacher
1048,The Bucket List,Drama Comedy,Jack Nicholson Morgan Freeman Sean Hayes Beverly Todd Alfonso Freeman,africa himalaya brain tumor wife husband relationship sense of life,Rob Reiner
1049,Patriot Games,Drama Action Thriller Crime,Harrison Ford Anne Archer Patrick Bergin Thora Birch James Fox,assassination assassin repayment ira jack ryan,Phillip Noyce
1050,Monster-in-Law,Romance Comedy,Jennifer Lopez Jane Fonda Michael Vartan Wanda Sykes Adam Scott,bad mother-in-law surgeon dogsitter falling in love,Robert Luketic
1051,Prisoners,Drama Thriller Crime,Hugh Jackman Jake Gyllenhaal Paul Dano Maria Bello Melissa Leo,pennsylvania kidnapping maze vigilante rural setting,Denis Villeneuve
1052,Training Day,Action Crime Drama Thriller,Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin,police brutality war on drugs drug traffic drug dealer los angeles,Antoine Fuqua
1053,Galaxy Quest,Comedy Family Science Fiction,Tim Allen Sigourney Weaver Alan Rickman Tony Shalhoub Sam Rockwell,space battle spaceship spoof fictional tv show,Dean Parisot
1054,Scary Movie 2,Comedy,Anna Faris Marlon Wayans James DeBello Shawn Wayans David Cross,sex exorcism secret door,Keenen Ivory Wayans
1055,The Muppets,Comedy Family Music,Amy Adams Jason Segel Emily Blunt John Krasinski Zach Galifianakis,musical the muppets robot oil tycoon studio tour,James Bobin
1056,Blade,Horror Action,Wesley Snipes Stephen Dorff Kris Kristofferson N'Bushe Wright Donal Logue,suicide hero vampire bite fistfight,Stephen Norrington
1057,Coach Carter,Drama,Samuel L. Jackson Rob Brown Robert Ri'chard Rick Gonzalez Channing Tatum,black people autoritian education sport high school scholarship,Thomas Carter
1058,Changing Lanes,Action Adventure Crime Thriller,Ben Affleck Samuel L. Jackson Kim Staunton Toni Collette Sydney Pollack,new york custody battle suspense lawyer,Roger Michell
1059,Anaconda,Adventure Horror Thriller,Jennifer Lopez Ice Cube Jon Voight Eric Stoltz Owen Wilson,amazon jungle anaconda film crew killer snake,Luis Llosa
1060,Coyote Ugly,Comedy,Piper Perabo Adam Garcia John Goodman Izabella Miko Tyra Banks,bar musical beautiful woman,David McNally
1061,Love Actually,Comedy Romance Drama,Keira Knightley Heike Makatsch Emma Thompson Laura Linney Hugh Grant,london england male nudity female nudity love at first sight usa president,Richard Curtis
1062,A Bug's Life,Adventure Animation Comedy Family,Kevin Spacey Julia Louis-Dreyfus Hayden Panettiere Phyllis Diller Bonnie Hunt,winter fight ant invention collector,Andrew Stanton
1063,From Hell,Horror Mystery Thriller,Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson,loss of family drug addiction jack the ripper,Albert Hughes
1064,The Specialist,Action Thriller,Sylvester Stallone Sharon Stone James Woods Rod Steiger Eric Roberts,explosive revenge explosives expert,Luis Llosa
1065,Tin Cup,Comedy Drama Romance,Kevin Costner Don Johnson Cheech Marin George Perez Rene Russo,lover (female) golf man-woman relation sport woman between two men,Ron Shelton
1066,"Yours, Mine and Ours",Comedy Drama Family,Lucille Ball Henry Fonda Van Johnson Tom Bosley Louise Troy,nurse widow children parent sibling,Melville Shavelson
1067,Kicking & Screaming,Romance Comedy Family,Will Ferrell Robert Duvall Kate Walsh Musetta Vander Josh Hutcherson,father son relationship generations confilct sport amateur soccer soccer coach,Jesse Dylan
1068,The Hitchhiker's Guide to the Galaxy,Adventure Comedy Family Science Fiction,Martin Freeman Zooey Deschanel Sam Rockwell Yasiin Bey John Malkovich,bureaucracy england dolphin android based on novel,Garth Jennings
1069,Fat Albert,Comedy Drama Family,Kenan Thompson Shedrack Anderson III Jermaine Williams Keith Robinson Alphonso McAuley,,Joel Zwick
1070,Resident Evil: Extinction,Horror Action Science Fiction,Milla Jovovich Oded Fehr Ali Larter Iain Glen Mike Epps,clone mutant post-apocalyptic dystopia conspiracy,Russell Mulcahy
1071,Blended,Comedy,Drew Barrymore Adam Sandler Wendi McLendon-Covey Bella Thorne Terry Crews,africa blind date relationship family vacation family,Frank Coraci
1072,Last Holiday,Adventure Comedy Drama,Queen Latifah LL Cool J Timothy Hutton Giancarlo Esposito Alicia Witt,,Wayne Wang
1073,The River Wild,Action Adventure Crime Thriller,Meryl Streep David Strathairn Kevin Bacon Benjamin Bratt John C. Reilly,river robber boston bank robber marriage crisis,Curtis Hanson
1074,The Indian in the Cupboard,Adventure Family Fantasy,Hal Scardino Litefoot Lindsay Crouse Richard Jenkins Rishi Bhat,cupboard games puppet parallel world toy comes to life,Frank Oz
1075,Savages,Crime Drama Thriller,Blake Lively Taylor Kitsch Aaron Taylor-Johnson Benicio del Toro Salma Hayek,widow american abroad eye gouging dea agent shot in the shoulder,Oliver Stone
1076,Cellular,Action Adventure Crime Thriller,Chris Evans Kim Basinger Jason Statham Jessica Biel William H. Macy,bank mobile phone telephone weapon police,David R. Ellis
1077,Johnny English,Adventure Action Comedy,Rowan Atkinson John Malkovich Natalie Imbruglia Tasha de Vasconcelos Ben Miller,spy hero queen intelligence coronation,Peter Howitt
1078,The Ant Bully,Fantasy Adventure Animation Comedy Family,Julia Roberts Meryl Streep Nicolas Cage Paul Giamatti Bruce Campbell,ant child hero shrinking ant-hill children,John A. Davis
1079,Dune,Action Science Fiction Adventure,Kyle MacLachlan Francesca Annis Leonardo Cimino Brad Dourif Jos\u00e9 Ferrer,prophecy witch monster telepathy atomic bomb,David Lynch
1080,Across the Universe,Adventure Drama Music Romance,Evan Rachel Wood Jim Sturgess Joe Anderson Dana Fuchs Martin Luther,riot protest musical music cultural difference,Julie Taymor
1081,Revolutionary Road,Drama Romance,Leonardo DiCaprio Kate Winslet Michael Shannon Kathryn Hahn David Harbour,adultery jealousy infidelity career marriage crisis,Sam Mendes
1082,16 Blocks,Action Adventure Crime Thriller,Bruce Willis Yasiin Bey David Morse Jenna Stern David Zayas,mission of murder male bonding doing the right thing people change,Richard Donner
1083,Babylon A.D.,Action Adventure Science Fiction Thriller,Vin Diesel Michelle Yeoh M\u00e9lanie Thierry Lambert Wilson Charlotte Rampling,submarine baby secret future mercenary,Mathieu Kassovitz
1084,The Glimmer Man,Action Adventure Crime Drama Thriller,Steven Seagal Keenen Ivory Wayans Bob Gunton Brian Cox Michelle Johnson,secret agent past cop series of murders homicide detective,John Gray
1085,Multiplicity,Comedy Fantasy Science Fiction,Michael Keaton Andie MacDowell Harris Yulin Eugene Levy Zack Duhame,clone mistake in person cloning experiment gone wrong construction,Harold Ramis
1086,Aliens in the Attic,Adventure Comedy Family Fantasy Science Fiction,Carter Jenkins Austin Butler Kevin Nealon Robert Hoffman Doris Roberts,alien comedy duringcreditsstinger beforecreditsstinger live action and animation,John Schultz
1087,The Pledge,Crime Drama Mystery Thriller,Jack Nicholson Aaron Eckhart Helen Mirren Robin Wright Vanessa Redgrave,promise murder drawing porcupine pledge,Sean Penn
1088,The Producers,Comedy Music,Matthew Broderick Uma Thurman Will Ferrell Eileen Essell Gary Beach,cheating adolf hitler success music blonde,Susan Stroman
1089,The Phantom,Adventure Action,Billy Zane Kristy Swanson Treat Williams Catherine Zeta-Jones James Remar,secret identity gold gangster boss phantom silver,Simon Wincer
1090,All the Pretty Horses,Drama Romance Western,Matt Damon Henry Thomas Pen\u00e9lope Cruz Sam Shepard Robert Patrick,dancing chess prisoner coffin wrong accusal,Billy Bob Thornton
1091,Nixon,History Drama,Anthony Hopkins Joan Allen Powers Boothe Ed Harris Bob Hoskins,usa president presidential election watergate scandal biography government,Oliver Stone
1092,The Ghost Writer,Thriller Mystery,Ewan McGregor Pierce Brosnan Jon Bernthal Kim Cattrall Tom Wilkinson,london england cia war crimes tony blair author,Roman Polanski
1093,Deep Rising,Adventure Action Horror Science Fiction,Treat Williams Famke Janssen Anthony Heald Kevin J. O'Connor Una Damon,ocean liner sea monster jewel heist armed robbery,Stephen Sommers
1094,Miracle at St. Anna,Drama War,Derek Luke Michael Ealy Laz Alonso John Turturro Valentina Cervi,black people world war ii toscana village soldier,Spike Lee
1095,Curse of the Golden Flower,Action Drama Fantasy,Chow Yun-fat Gong Li Jay Chou Liu Ye Qin Jun-Jie,poison china martial arts swordplay fight,Zhang Yimou
1096,Bangkok Dangerous,Action Crime Thriller,Nicolas Cage Shahkrit Yamnarm Charlie Yeung Panward Hemmanee Nirattisai Kaljaruek,assassin asia gun deaf-mute hitman,Danny Pang
1097,Big Trouble,Action Comedy Thriller,Tim Allen Rene Russo Patrick Warburton Ben Foster Zooey Deschanel,gadfly,Barry Sonnenfeld
1098,Love in the Time of Cholera,Drama Romance,Javier Bardem Unax Ugalde Benjamin Bratt Catalina Sandino Moreno H\u00e9ctor Elizondo,sex marriage proposal new love colombia letter,Mike Newell
1099,Shadow Conspiracy,Action Thriller,Charlie Sheen Donald Sutherland Linda Hamilton Stephen Lang Nicholas Turturro,,George P. Cosmatos
1100,Johnny English Reborn,Crime Adventure Action Comedy Thriller,Rowan Atkinson Dominic West Gillian Anderson Rosamund Pike Daniel Kaluuya,buddhist monk cooking prime minister kitchen secret agent,Oliver Parker
1101,Foodfight!,Animation Action Comedy Family,Charlie Sheen Wayne Brady Hilary Duff Eva Longoria Christopher Lloyd,supermarket fight product placement computer animation food,Lawrence Kasanoff
1102,Argo,Drama Thriller,Ben Affleck Bryan Cranston Alan Arkin John Goodman Victor Garber,cia wife husband relationship document revolution hiding place,Ben Affleck
